Img,Labelled Round 2,Labelled round 1,Person_num,Mask_on,Race,SkinColor,Sex,Is_Complicated,Remark,key,xmin,ymin,xmax,ymax,info,file
2982.png,,,1.0,1.0,0.0,0.0,0.0,False,,2982.png,240,2,1011,698,FaceMasks_JSON\annotations\2982.png.json,FaceMasks_JSON\images\2982.png
1904.jpg,,1904.jpg,1.0,1.0,0.0,0.0,0.0,False,0,1904.jpg,815,197,1022,453,FaceMasks_JSON\annotations\1904.jpg.json,FaceMasks_JSON\images\1904.jpg
2398.png,,2398.png,1.0,1.0,0.0,1.0,1.0,False,0,2398.png,107,46,424,424,FaceMasks_JSON\annotations\2398.png.json,FaceMasks_JSON\images\2398.png
2720.png,,2720.png,1.0,1.0,0.0,0.0,1.0,False,0,2720.png,266,26,494,319,FaceMasks_JSON\annotations\2720.png.json,FaceMasks_JSON\images\2720.png
4447.png,,,1.0,1.0,0.0,0.0,1.0,False,,4447.png,136,84,281,241,FaceMasks_JSON\annotations\4447.png.json,FaceMasks_JSON\images\4447.png
4558.png,,,1.0,1.0,0.0,0.0,0.0,False,,4558.png,86,8,412,379,FaceMasks_JSON\annotations\4558.png.json,FaceMasks_JSON\images\4558.png
4652.png,,,1.0,1.0,0.0,0.0,1.0,False,,4652.png,198,43,409,312,FaceMasks_JSON\annotations\4652.png.json,FaceMasks_JSON\images\4652.png
4708.png,,,1.0,1.0,0.0,0.0,1.0,False,,4708.png,471,20,577,142,FaceMasks_JSON\annotations\4708.png.json,FaceMasks_JSON\images\4708.png
3044.png,,3044.png,1.0,1.0,0.0,0.0,0.0,False,0,3044.png,84,45,416,558,FaceMasks_JSON\annotations\3044.png.json,FaceMasks_JSON\images\3044.png
3129.png,,3129.png,1.0,1.0,0.0,0.0,0.0,False,0,3129.png,133,71,435,467,FaceMasks_JSON\annotations\3129.png.json,FaceMasks_JSON\images\3129.png
3479.png,,,1.0,1.0,0.0,0.0,1.0,False,,3479.png,194,0,510,426,FaceMasks_JSON\annotations\3479.png.json,FaceMasks_JSON\images\3479.png
3224.png,,,1.0,1.0,0.0,0.0,1.0,False,,3224.png,332,4,639,408,FaceMasks_JSON\annotations\3224.png.json,FaceMasks_JSON\images\3224.png
3844.png,,,1.0,1.0,0.0,1.0,0.0,False,,3844.png,100,0,324,295,FaceMasks_JSON\annotations\3844.png.json,FaceMasks_JSON\images\3844.png
