Img,Labelled Round 2,Labelled round 1,Person_num,Mask_on,Race,SkinColor,Sex,Is_Complicated,Remark,key,xmin,ymin,xmax,ymax,info,file
2918.png,,2918.png,1.0,1.0,0.0,0.0,0.0,False,0,2918.png,84,6,677,534,FaceMasks_JSON\annotations\2918.png.json,FaceMasks_JSON\images\2918.png
2251.png,,2251.png,1.0,1.0,0.0,0.0,0.0,False,0,2251.png,243,12,534,368,FaceMasks_JSON\annotations\2251.png.json,FaceMasks_JSON\images\2251.png
4712.png,,,1.0,1.0,0.0,0.0,0.0,False,,4712.png,317,76,538,332,FaceMasks_JSON\annotations\4712.png.json,FaceMasks_JSON\images\4712.png
3275.png,,,1.0,1.0,0.0,0.0,0.0,False,,3275.png,197,73,431,385,FaceMasks_JSON\annotations\3275.png.json,FaceMasks_JSON\images\3275.png
2663.png,,2663.png,1.0,1.0,0.0,0.0,0.0,False,0,2663.png,347,5,604,256,FaceMasks_JSON\annotations\2663.png.json,FaceMasks_JSON\images\2663.png
3809.png,,,1.0,1.0,0.0,0.0,0.0,False,,3809.png,140,179,264,326,FaceMasks_JSON\annotations\3809.png.json,FaceMasks_JSON\images\3809.png
5196.jpg,,5196.jpg,1.0,1.0,0.0,0.0,0.0,False,0,5196.jpg,2180,0,3392,939,FaceMasks_JSON\annotations\5196.jpg.json,FaceMasks_JSON\images\5196.jpg
4812.png,,,1.0,1.0,0.0,0.0,0.0,False,,4812.png,362,61,449,168,FaceMasks_JSON\annotations\4812.png.json,FaceMasks_JSON\images\4812.png
1891.jpg,,1891.jpg,1.0,1.0,0.0,0.0,0.0,False,0,1891.jpg,255,3,517,354,FaceMasks_JSON\annotations\1891.jpg.json,FaceMasks_JSON\images\1891.jpg
3279.png,,3279.png,1.0,1.0,0.0,0.0,0.0,False,0,3279.png,308,134,551,446,FaceMasks_JSON\annotations\3279.png.json,FaceMasks_JSON\images\3279.png
2476.png,,,1.0,1.0,0.0,1.0,0.0,False,,2476.png,220,34,435,317,FaceMasks_JSON\annotations\2476.png.json,FaceMasks_JSON\images\2476.png
3895.png,,3895.png,1.0,1.0,0.0,0.0,1.0,False,changed hispanic,3895.png,403,178,439,222,FaceMasks_JSON\annotations\3895.png.json,FaceMasks_JSON\images\3895.png
