Img,Labelled Round 2,Labelled round 1,Person_num,Mask_on,Race,SkinColor,Sex,Is_Complicated,Remark,key,xmin,ymin,xmax,ymax,info,file
1801.jpg,,1801.jpg,1.0,0.0,4.0,1.0,1.0,False,0,1801.jpg,451,186,895,697,FaceMasks_JSON\annotations\1801.jpg.json,FaceMasks_JSON\images\1801.jpg
1802.jpg,,1802.jpg,1.0,1.0,0.0,0.0,1.0,False,0,1802.jpg,110,71,273,272,FaceMasks_JSON\annotations\1802.jpg.json,FaceMasks_JSON\images\1802.jpg
1803.jpg,,1803.jpg,1.0,1.0,3.0,0.0,1.0,False,0,1803.jpg,126,75,303,333,FaceMasks_JSON\annotations\1803.jpg.json,FaceMasks_JSON\images\1803.jpg
1805.jpg,,,1.0,1.0,0.0,0.0,0.0,False,,1805.jpg,728,180,853,336,FaceMasks_JSON\annotations\1805.jpg.json,FaceMasks_JSON\images\1805.jpg
1806.jpg,,1806.jpg,1.0,1.0,0.0,0.0,1.0,False,0,1806.jpg,509,184,617,313,FaceMasks_JSON\annotations\1806.jpg.json,FaceMasks_JSON\images\1806.jpg
1809.jpg,,1809.jpg,1.0,0.0,2.0,2.0,1.0,False,0,1809.jpg,915,78,1419,742,FaceMasks_JSON\annotations\1809.jpg.json,FaceMasks_JSON\images\1809.jpg
1811.jpg,,1811.jpg,1.0,0.0,2.0,2.0,1.0,False,0,1811.jpg,435,83,583,276,FaceMasks_JSON\annotations\1811.jpg.json,FaceMasks_JSON\images\1811.jpg
1813.jpg,,1813.jpg,1.0,0.0,0.0,0.0,1.0,False,0,1813.jpg,203,56,590,552,FaceMasks_JSON\annotations\1813.jpg.json,FaceMasks_JSON\images\1813.jpg
1814.jpg,,1814.jpg,1.0,0.0,0.0,1.0,1.0,False,changed hispanic,1814.jpg,260,133,484,426,FaceMasks_JSON\annotations\1814.jpg.json,FaceMasks_JSON\images\1814.jpg
1815.jpg,,1815.jpg,1.0,0.0,0.0,1.0,1.0,False,0,1815.jpg,196,125,737,852,FaceMasks_JSON\annotations\1815.jpg.json,FaceMasks_JSON\images\1815.jpg
1818.jpg,,1818.jpg,1.0,1.0,0.0,0.0,0.0,False,0,1818.jpg,141,128,368,422,FaceMasks_JSON\annotations\1818.jpg.json,FaceMasks_JSON\images\1818.jpg
1819.jpg,,1819.jpg,1.0,0.0,3.0,0.0,0.0,False,0,1819.jpg,328,100,433,237,FaceMasks_JSON\annotations\1819.jpg.json,FaceMasks_JSON\images\1819.jpg
1822.jpg,,1822.jpg,1.0,1.0,4.0,1.0,0.0,False,changed hispanic,1822.jpg,510,2,708,213,FaceMasks_JSON\annotations\1822.jpg.json,FaceMasks_JSON\images\1822.jpg
1823.jpg,,1823.jpg,1.0,1.0,2.0,2.0,1.0,False,0,1823.jpg,386,76,545,285,FaceMasks_JSON\annotations\1823.jpg.json,FaceMasks_JSON\images\1823.jpg
1828.jpg,,1828.jpg,1.0,1.0,0.0,1.0,0.0,False,uncertain,1828.jpg,157,62,837,1079,FaceMasks_JSON\annotations\1828.jpg.json,FaceMasks_JSON\images\1828.jpg
1829.jpg,,1829.jpg,1.0,1.0,0.0,0.0,0.0,False,0,1829.jpg,249,172,550,537,FaceMasks_JSON\annotations\1829.jpg.json,FaceMasks_JSON\images\1829.jpg
1831.jpg,,1831.jpg,1.0,0.0,0.0,0.0,1.0,False,changed color,1831.jpg,324,215,768,846,FaceMasks_JSON\annotations\1831.jpg.json,FaceMasks_JSON\images\1831.jpg
1839.jpg,,1839.jpg,1.0,1.0,0.0,0.0,0.0,False,0,1839.jpg,437,27,561,167,FaceMasks_JSON\annotations\1839.jpg.json,FaceMasks_JSON\images\1839.jpg
1841.jpg,,,1.0,1.0,2.0,2.0,1.0,False,debiased,1841.jpg,107,96,319,323,FaceMasks_JSON\annotations\1841.jpg.json,FaceMasks_JSON\images\1841.jpg
