Img,Labelled Round 2,Labelled round 1,Person_num,Mask_on,Race,SkinColor,Sex,Is_Complicated,Remark,key,xmin,ymin,xmax,ymax,info,file
5255.jpg,,5255.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5255.jpg,791,0,4360,3062,FaceMasks_JSON\annotations\5255.jpg.json,FaceMasks_JSON\images\5255.jpg
5806.jpg,,5806.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5806.jpg,343,175,736,674,FaceMasks_JSON\annotations\5806.jpg.json,FaceMasks_JSON\images\5806.jpg
4670.png,,4670.png,1.0,0.0,0.0,0.0,0.0,False,0,4670.png,233,2,577,373,FaceMasks_JSON\annotations\4670.png.json,FaceMasks_JSON\images\4670.png
5665.jpg,,5665.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5665.jpg,374,5,471,105,FaceMasks_JSON\annotations\5665.jpg.json,FaceMasks_JSON\images\5665.jpg
5519.jpg,,5519.jpg,1.0,0.0,0.0,1.0,0.0,False,changed hispanic,5519.jpg,293,69,393,191,FaceMasks_JSON\annotations\5519.jpg.json,FaceMasks_JSON\images\5519.jpg
6043.jpg,,6043.jpg,1.0,0.0,0.0,0.0,0.0,False,0,6043.jpg,383,145,986,870,FaceMasks_JSON\annotations\6043.jpg.json,FaceMasks_JSON\images\6043.jpg
5646.jpg,,5646.jpg,1.0,0.0,0.0,1.0,0.0,False,0,5646.jpg,321,118,848,765,FaceMasks_JSON\annotations\5646.jpg.json,FaceMasks_JSON\images\5646.jpg
5379.jpg,,5379.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5379.jpg,613,125,771,301,FaceMasks_JSON\annotations\5379.jpg.json,FaceMasks_JSON\images\5379.jpg
4472.png,,4472.png,1.0,0.0,0.0,0.0,0.0,False,0,4472.png,273,3,420,194,FaceMasks_JSON\annotations\4472.png.json,FaceMasks_JSON\images\4472.png
5252.jpg,,5252.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5252.jpg,731,0,1547,947,FaceMasks_JSON\annotations\5252.jpg.json,FaceMasks_JSON\images\5252.jpg
6130.jpg,,6130.jpg,1.0,0.0,0.0,1.0,0.0,False,changed hispanic,6130.jpg,1094,16,1691,666,FaceMasks_JSON\annotations\6130.jpg.json,FaceMasks_JSON\images\6130.jpg
5915.jpg,,5915.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5915.jpg,75,29,354,436,FaceMasks_JSON\annotations\5915.jpg.json,FaceMasks_JSON\images\5915.jpg
5650.jpg,,5650.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5650.jpg,1552,283,2040,893,FaceMasks_JSON\annotations\5650.jpg.json,FaceMasks_JSON\images\5650.jpg
5986.jpg,,5986.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5986.jpg,360,197,582,464,FaceMasks_JSON\annotations\5986.jpg.json,FaceMasks_JSON\images\5986.jpg
5970.jpg,,5970.jpg,1.0,0.0,0.0,1.0,0.0,False,0,5970.jpg,2,166,99,269,FaceMasks_JSON\annotations\5970.jpg.json,FaceMasks_JSON\images\5970.jpg
2453.png,,2453.png,1.0,0.0,0.0,0.0,0.0,False,0,2453.png,190,27,413,311,FaceMasks_JSON\annotations\2453.png.json,FaceMasks_JSON\images\2453.png
5972.jpg,,5972.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5972.jpg,76,74,183,206,FaceMasks_JSON\annotations\5972.jpg.json,FaceMasks_JSON\images\5972.jpg
6304.jpg,,6304.jpg,1.0,0.0,0.0,0.0,0.0,False,0,6304.jpg,548,163,1052,810,FaceMasks_JSON\annotations\6304.jpg.json,FaceMasks_JSON\images\6304.jpg
5274.jpg,,5274.jpg,1.0,0.0,0.0,0.0,0.0,False,0,5274.jpg,122,14,806,908,FaceMasks_JSON\annotations\5274.jpg.json,FaceMasks_JSON\images\5274.jpg
3025.png,,3025.png,1.0,0.0,0.0,0.0,0.0,False,0,3025.png,302,29,465,228,FaceMasks_JSON\annotations\3025.png.json,FaceMasks_JSON\images\3025.png
6160.jpg,,6160.jpg,1.0,0.0,0.0,0.0,0.0,False,0,6160.jpg,241,1,774,506,FaceMasks_JSON\annotations\6160.jpg.json,FaceMasks_JSON\images\6160.jpg
6121.jpg,,6121.jpg,1.0,0.0,0.0,0.0,1.0,False,0,6121.jpg,700,55,996,448,FaceMasks_JSON\annotations\6121.jpg.json,FaceMasks_JSON\images\6121.jpg
5021.jpg,,5021.jpg,1.0,0.0,0.0,0.0,1.0,False,0,5021.jpg,136,46,331,292,FaceMasks_JSON\annotations\5021.jpg.json,FaceMasks_JSON\images\5021.jpg
1957.jpg,,1957.jpg,1.0,0.0,0.0,0.0,1.0,False,0,1957.jpg,106,119,483,604,FaceMasks_JSON\annotations\1957.jpg.json,FaceMasks_JSON\images\1957.jpg
6261.jpg,,6261.jpg,1.0,0.0,0.0,0.0,1.0,False,0,6261.jpg,170,147,794,670,FaceMasks_JSON\annotations\6261.jpg.json,FaceMasks_JSON\images\6261.jpg
6157.jpg,,6157.jpg,1.0,0.0,0.0,0.0,1.0,False,0,6157.jpg,677,163,946,533,FaceMasks_JSON\annotations\6157.jpg.json,FaceMasks_JSON\images\6157.jpg
1815.jpg,,1815.jpg,1.0,0.0,0.0,1.0,1.0,False,0,1815.jpg,196,125,737,852,FaceMasks_JSON\annotations\1815.jpg.json,FaceMasks_JSON\images\1815.jpg
5799.jpg,,5799.jpg,1.0,0.0,0.0,0.0,1.0,False,0,5799.jpg,64,0,539,590,FaceMasks_JSON\annotations\5799.jpg.json,FaceMasks_JSON\images\5799.jpg
